lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,3.8278296668166667,13.988527283266667,7265.0,916.0,1.0,39.20261527873365,0.03844708873026295
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,3.7497393257166665,13.023380338733332,8015.0,855.0,1.0,35.53424828446663,0.04314500696963207
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,3.7790658571333333,13.426944366666667,8703.0,872.0,1.0,32.72515224635183,0.04679309146193738
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,1.0,2,3.659665991383333,21.150285647116668,8570.0,1004.0,1.0,33.23302217036173,0.04464777902228527
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.16970352551666668,0.4623588948833333,2103.0,133.0,1.0,13.628625772705659,0.112173336589791
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.15819950293333335,0.41565754018333334,1718.0,133.0,1.0,16.547729918509894,0.08895845791269479
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.15141698035,0.4370319509,1873.0,167.0,1.0,15.16657768286172,0.0996585348681663
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.15883664496666666,0.39866276213333335,1922.0,120.0,1.0,14.896982310093652,0.09929449566918133
projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.15778140326666668,0.40095128068333336,1855.0,243.0,1.0,15.380592991913746,0.09859451123339526
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.17168819726666668,0.5680040551,2781.0,348.0,1.0,25.62064005753326,0.05713604019592707
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.16799890306666668,0.5627023471666667,2849.0,524.0,1.0,24.976482976482977,0.05903763455971219
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.23759031296666666,0.5528670967166667,2772.0,286.0,1.0,25.787518037518037,0.057328315823342614
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.15583176661666667,0.7598627390833333,2506.0,441.0,1.0,28.304070231444534,0.050923445650641476
projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.15227457523333332,0.7875809262166666,2766.0,454.0,1.0,25.783803326102674,0.056016713873075524
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.20549881,18.9413424577,3006.0,1387.0,1.0,47.492015968063875,0.03138111949341907
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.198120755,1.7133340520833333,3233.0,771.0,1.0,43.88895762449737,0.03408201954994256
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.17680802771666668,1.1751106657833332,3599.0,513.0,1.0,39.618227285357044,0.03823657301558358
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.19103998068333333,2.2252416982166667,3651.0,990.0,1.0,39.07997808819501,0.037215887188903916
projection,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.16603394558333334,1.8922709874,3430.0,639.0,1.0,41.47551020408163,0.03483737637159868
projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.20924892731666667,22.909496961916666,4741.0,1042.0,1.0,45.039654081417424,0.033896400088042594
projection,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.23089227836666668,25.6284258743,3541.0,1494.0,1.0,60.32928551256707,0.025802102740303146
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.07101673781666666,5.841617463983333,4.0,11983.0,2247.0,7169.0,0.00488213139907937
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.037272924066666664,6.3239686573,4.0,11279.0,3182.0,7106.25,0.004116094986807388
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.03089825965,4.970343171383333,4.0,12173.0,2838.0,7171.0,0.0044972807139868915
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.024099946816666665,6.759834232333334,4.0,12228.0,2925.0,7146.75,0.00524714030853185
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,6,0.032243888033333334,6.049642991133333,4.0,12201.0,3021.0,7135.75,0.005570542689976527
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,6,0.05004083031666667,13.251192830716667,4.0,31758.0,5813.0,17735.5,0.004693975360153365
