lshMEthod,ands,imbalance,isMethod,database,one_class_method,level_6,trees,depth,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,balancedAcc,mcc,AreaROC,timeIS,timeLSH,model_complexity,Total Time,Reduction of DataSet(%),reduction,k,type,db/IS_Method,% of samples
RHF+DPF,4,True,entropy,credit_card,entropy,5,50,10,81.0,56662.0,81.0,27.0,75.0,99.85725111,50.0,99.81002973,60.0,86.54070622,82.45717533300001,87.428625555,0.6114979340147527,0.93524573,0.507256253,0.446019638,500,0.953275891,68.874027,0.31125973,1,test,"credit_card/
entropy",31.125973000000002
RHF+DPF,4,True,entropy,credit_card,entropy,6,50,10,75.0,56685.0,75.0,19.0,79.78723404,99.86786469,50.0,99.83466423,61.47540984,89.26466655,85.811423235,89.82754936500001,0.6308792203437337,0.968582463,0.489920088,0.367885056,500,0.857805144,69.3728264,0.306271736,2,test,"credit_card/
entropy",30.627173600000003
RHF+DPF,4,True,entropy,credit_card,entropy,7,50,10,75.0,56620.0,75.0,23.0,76.53061224,99.8677132,50.0,99.82744352,60.48387097,87.42389396,83.531742528,88.19916272,0.6178036988829875,0.957114047,0.483276388,0.346863874,500,0.830140262,69.33471300000001,0.30665287,3,test,"credit_card/
entropy",30.665287000000003
RHF+DPF,4,True,entropy,credit_card,entropy,8,50,10,71.0,57196.0,71.0,21.0,77.17391304,99.87601935,50.0,99.83960669,60.68376068,87.79420956,83.984544933,88.524966195,0.6204569851148102,0.954944693,0.584096551,0.391703574,500,0.975800125,69.00603050000001,0.309939695,4,test,"credit_card/
entropy",30.993969500000002
RHF+DPF,4,True,entropy,credit_card,entropy,9,50,10,77.0,57116.0,77.0,23.0,77.0,99.86536814,50.0,99.82545861,60.62992126,87.69055449,83.85961044199999,88.43268407,0.6196914044149373,0.969310932,0.704365389,0.638992986,500,1.343358375,69.4598965,0.305401035,5,test,"credit_card/
entropy",30.540103499999997
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,0,25,30,3698.0,878723.0,3698.0,93.0,97.54682141915062,99.58092565793424,50.0,99.57222425333892,66.11245195315992,98.55862606544504,98.15705269078569,98.56387353854242,0.6968040978096101,0.9991371526949002,1.5796188847333332,4.722027636633333,750,6.301646521366667,83.01015825125452,0.1698984174874547,3,train,"gateway_credit_card/
entropy",16.98984174874547
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,1,25,30,3646.0,994145.0,3646.0,101.0,97.30451027488658,99.63459281552952,50.0,99.6258754036292,66.0567080351481,98.46265921836984,98.00353503707946,98.46955154520805,0.6961300455605396,0.998718017590865,1.6440789664333333,4.952932341883334,750,6.597011308316667,80.78527844566365,0.1921472155433636,4,train,"gateway_credit_card/
entropy",19.214721554336357
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,2,25,30,3700.0,944933.0,3700.0,82.0,97.83183500793233,99.60996507606208,50.0,99.602904196175,66.17778572706135,98.71689657027922,98.36527402837125,98.7209000419972,0.6979430127803902,0.9990124547474044,1.7041877760333333,5.162168571433333,750,6.866356347466667,81.73626054611685,0.1826373945388315,5,train,"gateway_credit_card/
entropy",18.263739453883147
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,3,25,30,3698.0,924169.0,3698.0,92.0,97.57255936675462,99.6014515011311,50.0,99.5931979258461,66.11836223851243,98.58178604391912,98.18122700706755,98.58700543394286,0.6969744100877989,0.9988708996935872,1.7306988604166669,5.332985075983333,750,7.0636839364,82.13949511869286,0.1786050488130714,1,train,"gateway_credit_card/
entropy",17.86050488130714
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,4,25,30,3675.0,831532.0,3675.0,75.0,98.0,99.55998932001287,50.0,99.55301642396452,66.21621621621621,98.77691508323826,98.46799679600386,98.77999466000644,0.6983637736433174,0.9990043362422752,1.7205081243833331,5.704195601216667,750,7.424703725600001,83.9185656088038,0.1608143439119619,2,train,"gateway_credit_card/
entropy",16.08143439119619
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,5,25,30,525.0,1297622.0,525.0,399.0,56.81818181818182,99.95955773883853,50.0,99.92887224793718,53.19148936170213,75.36259235237578,69.76059459437883,78.38886977851017,0.5326482592780925,0.9259826681260444,1.5796188847333332,4.722027636633333,750,6.301646521366667,83.01015825125452,0.1698984174874547,3,test,"gateway_credit_card/
entropy",16.98984174874547
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,6,25,30,535.0,1298556.0,535.0,433.0,55.26859504132232,99.95881735767549,50.0,99.92554184079336,52.50245338567223,74.32754131108378,68.67566173622826,77.6137061994989,0.5253122586247317,0.9264681006620112,1.6440789664333333,4.952932341883334,750,6.597011308316667,80.78527844566365,0.1921472155433636,4,test,"gateway_credit_card/
entropy",19.214721554336357
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,7,25,30,537.0,1297427.0,537.0,396.0,57.556270096463024,99.95862751201112,50.0,99.9281698240892,53.51270553064275,75.85015335220524,70.27697732112745,78.75744880423707,0.5360960687529313,0.9154821117456496,1.7041877760333333,5.162168571433333,750,6.866356347466667,81.73626054611685,0.1826373945388315,5,test,"gateway_credit_card/
entropy",18.263739453883147
RHF+DPF,4,True,entropy,gateway_credit_card,entropy,8,25,30,531.0,1296401.0,531.0,394.0,57.40540540540541,99.95905722119586,50.0,99.92872866579292,53.44740815299446,75.7508429241871,70.17150095014254,78.68223131330063,0.5353952044961273,0.9401465944772108,1.7306988604166669,5.332985075983333,750,7.0636839364,82.13949511869286,0.1786050488130714,1,test,"gateway_credit_card/
entropy",17.86050488130714
