tipo,tp,fn,tn,fp,TPR,SPC,PPV,ACC,F1,MGEO,PEXC,MCC,areaRoc,trees,impurity,depth,bins
train,1038,2443,4866198,20,29.81901752,99.999589,98.10964083,99.94942193,45.73694646,54.60667997,0.298186065,0.540739913,0.654374164,10,entropy,10,64
test,304,879,1619245,16,25.69737954,99.99901189,95,99.94476822,40.45242848,50.69233239,0.256963914,0.493939574,0.628481957,10,entropy,10,128
train,1110,2422,4869046,13,31.42695357,99.99973301,98.84238646,99.95002659,47.69065521,56.05967326,0.314266866,0.557200702,0.628481957,10,entropy,10,128
test,544,604,1622413,13,47.38675958,99.99919873,97.66606822,99.96199742,63.81231672,68.83776572,0.473859583,0.68016445,0.736929792,10,entropy,20,32
train,2633,934,4865886,8,73.81553126,99.99983559,99.69708444,99.98065494,84.82603093,85.91589486,0.738153668,0.857773878,0.736929792,10,entropy,20,32
test,604,639,1622388,15,48.59211585,99.99907545,97.57673667,99.95972028,64.87647691,69.70772309,0.485911913,0.688437129,0.742955956,10,entropy,20,64
train,2582,890,4865912,5,74.36635945,99.99989724,99.80672594,99.98161987,85.22858558,86.23588756,0.743662567,0.861446032,0.742955956,10,entropy,20,64
test,607,571,1620511,12,51.52801358,99.9992595,98.06138934,99.96405009,67.55703951,71.78275003,0.515272731,0.710705355,0.757636365,10,entropy,20,128
train,2643,894,4867791,6,74.72434266,99.99987674,99.77349943,99.98152457,85.45101843,86.44318976,0.747242194,0.863372733,0.757636365,10,entropy,20,128
test,598,611,1622571,17,49.46236559,99.99895229,97.23577236,99.96132521,65.57017544,70.32911728,0.494613179,0.693364811,0.747306589,10,entropy,30,32
train,3106,400,4865720,12,88.59098688,99.99975338,99.61513791,99.99153872,93.78019324,94.1226691,0.885907403,0.939374823,0.747306589,10,entropy,30,32
test,543,604,1620815,24,47.34088928,99.99851929,95.76719577,99.96128203,63.36056009,68.80420648,0.473394086,0.673186375,0.736697043,10,entropy,30,64
train,3213,355,4867467,14,90.05044843,99.99971238,99.56616052,99.99242463,94.56953642,94.89477827,0.900501608,0.946852261,0.736697043,10,entropy,30,64
test,567,598,1621620,16,48.6695279,99.99901334,97.25557461,99.96216418,64.87414188,69.76320498,0.486685412,0.687858479,0.743342706,10,entropy,30,128
train,3145,405,4866680,4,88.5915493,99.99991781,99.87297555,99.99160205,93.89461114,94.12304526,0.885914671,0.94059323,0.743342706,10,entropy,30,128
test,270,896,1621731,7,23.15608919,99.99956836,97.47292419,99.944359,37.42203742,48.12067045,0.231556576,0.474949578,0.615778288,10,entropy,10,32
train,817,2732,4866560,22,23.02056917,99.99954794,97.37783075,99.94345121,37.2379216,47.97964684,0.230201171,0.473324147,0.615778288,10,entropy,10,32
test,360,811,1624294,9,30.74295474,99.99944592,97.56097561,99.94955318,46.75324675,55.44617606,0.307424007,0.547514787,0.653712003,10,entropy,10,64
train,1016,2528,4863982,35,28.66817156,99.99928043,96.66983825,99.94734529,44.22198041,53.54247405,0.28667452,0.526287826,0.653712003,10,entropy,10,64
test,340,878,1621147,5,27.91461412,99.99969158,98.55072464,99.94557345,43.50607806,52.83420107,0.279143057,0.524353321,0.639571528,10,entropy,10,128
train,1114,2383,4867149,19,31.85587647,99.99960963,98.32303619,99.95068435,48.12095032,56.44090016,0.318554861,0.559514897,0.639571528,10,entropy,10,128
test,592,635,1620376,25,48.24775876,99.99845717,95.94813614,99.95930016,64.20824295,69.46007082,0.482462159,0.680238527,0.74123108,10,entropy,20,32
