trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC
50,20,Train,1,440.0,3880.0,440.0,5.0,98.87640449438202,89.81481481481481,50.0,90.6610703043022,66.41509433962264,94.23675482112934,96.15792759051185,0.9915265217278639
50,20,Test,1,101.0,1017.0,101.0,13.0,88.59649122807018,90.96601073345259,50.0,90.74675324675324,63.92405063291138,89.77343355357904,89.3073470796849,0.9569920726819275
50,30,Train,1,440.0,3881.0,440.0,5.0,98.87640449438202,89.81717195093728,50.0,90.66302979437684,66.41509433962264,94.23799140666326,96.1586347313486,0.9926302075520034
50,30,Test,1,101.0,1017.0,101.0,13.0,88.59649122807018,90.96601073345259,50.0,90.74675324675324,63.92405063291138,89.77343355357904,89.3073470796849,0.9569920726819275
10,10,Train,2,433.0,3970.0,433.0,21.0,95.37444933920705,90.16579604814899,50.0,90.65266625488985,65.6060606060606,92.73355998409347,93.81185335188962,0.9849816930435823
10,10,Test,2,92.0,922.0,92.0,13.0,87.61904761904762,90.92702169625247,50.0,90.61662198391421,63.66782006920415,89.25771139717914,88.61143984220908,0.9484936728967014
10,20,Train,2,443.0,3975.0,443.0,11.0,97.57709251101322,89.97283838841105,50.0,90.68144499178982,66.11940298507461,93.69785469744986,95.29581627423258,0.9919386561204752
10,20,Test,2,94.0,923.0,94.0,11.0,89.52380952380953,90.75712881022615,50.0,90.64171122994652,64.16382252559728,90.13835982829137,89.89380530973452,0.9548956627618926
10,30,Train,2,444.0,3973.0,444.0,10.0,97.79735682819384,89.94792845822957,50.0,90.67953192362964,66.1698956780924,93.79056272027762,95.44252831720455,0.9898951073033844
10,30,Test,2,89.0,925.0,89.0,16.0,84.76190476190476,91.22287968441815,50.0,90.61662198391421,62.89752650176678,87.93307136633717,86.70019723865877,0.9599194585826948
25,10,Train,2,440.0,3971.0,440.0,14.0,96.91629955947137,90.02493765586036,50.0,90.66803699897224,65.96701649175412,93.4070865923892,94.84889098838806,0.9871323016868813
25,10,Test,2,90.0,921.0,90.0,15.0,85.71428571428571,91.0979228486647,50.0,90.59139784946237,63.157894736842096,88.36511408371746,87.3293768545994,0.9419871794871795
25,20,Train,2,450.0,3974.0,450.0,4.0,99.11894273127754,89.82820976491863,50.0,90.6929069290693,66.46971935007386,94.35929831946693,96.33172284136987,0.9918385914653131
25,20,Test,2,92.0,922.0,92.0,13.0,87.61904761904762,90.92702169625247,50.0,90.61662198391421,63.66782006920415,89.25771139717914,88.61143984220908,0.9484936728967014
25,30,Train,2,453.0,3972.0,453.0,1.0,99.77973568281938,89.76271186440677,50.0,90.69481451117032,66.61764705882354,94.63878519932291,96.7746285372956,0.9901338907757232
25,30,Test,2,90.0,919.0,90.0,15.0,85.71428571428571,91.0802775024777,50.0,90.57450628366249,63.157894736842096,88.35655566387705,87.32408325074331,0.9331464920015116
50,10,Train,2,442.0,3969.0,442.0,12.0,97.3568281938326,89.979596463387,50.0,90.66803699897224,66.06875934230193,93.59555605816098,95.14365867469891,0.985276981963888
50,10,Test,2,91.0,923.0,91.0,14.0,86.66666666666667,91.02564102564102,50.0,90.61662198391421,63.41463414634146,88.81941729649485,87.97435897435898,0.9521253085820854
50,20,Train,2,451.0,3976.0,451.0,3.0,99.33920704845815,89.81251411791281,50.0,90.69862733046506,66.51917404129794,94.45583060617228,96.48119916929454,0.9941405647191616
50,20,Test,2,92.0,922.0,92.0,13.0,87.61904761904762,90.92702169625247,50.0,90.61662198391421,63.66782006920415,89.25771139717914,88.61143984220908,0.9484936728967014
50,30,Train,2,451.0,3977.0,451.0,3.0,99.33920704845815,89.81481481481481,50.0,90.70053256861942,66.51917404129794,94.45704042001218,96.48188937836514,0.9952275111822851
50,30,Test,2,90.0,922.0,90.0,15.0,85.71428571428571,91.10671936758892,50.0,90.59982094897046,63.157894736842096,88.36938029863491,87.33201581027667,0.946541185602018
