isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeIS,reduction
undersampling,25,30,Test,2,108.0,949.0,108.0,5.0,95.57522123893806,89.78240302743615,50.0,90.34188034188034,65.65349544072947,92.63354161809161,93.83737577548747,0.8348794549266247,0.0967871022,0.21495755907318193
undersampling,50,10,Train,2,446.0,437.0,446.0,1.0,99.77628635346755,49.49037372593432,50.0,66.39097744360902,66.6168782673637,70.27066031153365,84.69051256520758,0.9988584474885845,0.07235977666666667,0.2027988070658408
undersampling,50,10,Test,2,109.0,947.0,109.0,4.0,96.46017699115043,89.6780303030303,50.0,90.33361847733106,65.86102719033232,93.00730441878237,94.4255329847144,0.8322527787991976,0.07235977666666667,0.2027988070658408
undersampling,50,20,Train,2,447.0,480.0,447.0,0.0,100.0,51.7799352750809,50.0,67.46724890829694,66.66666666666667,71.95827629611544,85.53398058252426,0.9966666666666666,0.0733888208,0.21335168616655195
undersampling,50,20,Test,2,109.0,947.0,109.0,4.0,96.46017699115043,89.6780303030303,50.0,90.33361847733106,65.86102719033232,93.00730441878237,94.4255329847144,0.8322527787991976,0.0733888208,0.21335168616655195
undersampling,50,30,Train,2,446.0,504.0,446.0,1.0,99.77628635346755,53.05263157894737,50.0,68.00286327845383,66.6168782673637,72.75571840224016,85.7591899211115,0.999009900990099,0.06491808575,0.21816930488644184
undersampling,50,30,Test,2,108.0,957.0,108.0,5.0,95.57522123893806,89.85915492957747,50.0,90.4074702886248,65.65349544072947,92.67312778113393,93.86040134612988,0.8526644052959843,0.06491808575,0.21816930488644184
undersampling,10,10,Train,3,445.0,496.0,445.0,1.0,99.77578475336323,52.70988310308182,50.0,67.84426820475848,66.61676646706587,72.52013479626213,85.6560142582788,0.9967568273173718,0.09358449988333334,0.2134297987791092
undersampling,10,10,Test,3,111.0,886.0,111.0,3.0,97.36842105263158,88.86659979939819,50.0,89.73897389738974,66.07142857142858,93.02043058803538,94.81787467666156,0.8430332078055461,0.09358449988333334,0.2134297987791092
undersampling,10,20,Train,3,445.0,528.0,445.0,1.0,99.77578475336323,54.26515930113053,50.0,68.56941508104299,66.61676646706587,73.58225909848491,86.12259711769342,0.9957066061301647,0.06974503705,0.22089079810083653
undersampling,10,20,Test,3,109.0,886.0,109.0,5.0,95.6140350877193,89.04522613065326,50.0,89.72046889089269,65.66265060240964,92.27119472321891,93.64339240059948,0.8399614594583149,0.06974503705,0.22089079810083653
undersampling,10,30,Train,3,445.0,523.0,445.0,1.0,99.77578475336323,54.02892561983471,50.0,68.45827439886845,66.61676646706587,73.4219207941341,86.05172701330467,0.9945914585423078,0.0684101527,0.21998643454668776
undersampling,10,30,Test,3,107.0,894.0,107.0,7.0,93.85964912280701,89.31068931068931,50.0,89.77578475336323,65.2439024390244,91.55692197544285,92.4949611791717,0.8551758299875604,0.0684101527,0.21998643454668776
undersampling,25,10,Train,3,445.0,475.0,445.0,1.0,99.77578475336323,51.63043478260869,50.0,67.34992679355784,66.61676646706587,71.77372184575718,85.33217976213686,0.9956013655462185,0.07950478333333333,0.20890798100836536
undersampling,25,10,Test,3,110.0,875.0,110.0,4.0,96.49122807017544,88.83248730964468,50.0,89.62693357597816,65.86826347305389,92.58269704991257,94.19360584201621,0.8193621140450672,0.07950478333333333,0.20890798100836536
undersampling,25,20,Train,3,446.0,524.0,446.0,0.0,100.0,54.02061855670103,50.0,68.50282485875707,66.66666666666667,73.49872009545543,86.20618556701031,1.0,0.07642582708333333,0.21930816188107619
undersampling,25,20,Test,3,108.0,891.0,108.0,6.0,94.73684210526315,89.1891891891892,50.0,89.75741239892183,65.45454545454545,91.92117347876201,93.07254623044096,0.8495966948652371,0.07642582708333333,0.21930816188107619
