isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeIS,reduction
undersampling,25,30,Train,1,390.0,373.0,390.0,0.0,100.0,48.88597640891219,50.0,66.17519514310494,66.66666666666667,69.91850714146591,84.66579292267366,1.0,0.08901777343333334,0.0033443056949625026
undersampling,25,30,Test,1,91.0,54445.0,91.0,11.0,89.2156862745098,99.8331377438756,50.0,99.81331673926572,64.08450704225352,94.37521865806472,92.40092171531954,0.5205620346341661,0.08901777343333334,0.0033443056949625026
undersampling,50,10,Train,1,383.0,421.0,383.0,7.0,98.2051282051282,52.363184079601986,50.0,67.33668341708542,66.26297577854672,71.71006349018275,84.45254496747033,0.9918224299065421,0.07942747848333333,0.0035546945198094227
undersampling,50,10,Test,1,90.0,54826.0,90.0,12.0,88.23529411764706,99.83611333673247,50.0,99.81460612890328,63.82978723404255,93.85663974290436,91.71553988337268,0.5246158615446336,0.07942747848333333,0.0035546945198094227
undersampling,50,20,Train,1,388.0,393.0,388.0,2.0,99.48717948717949,50.32010243277849,50.0,66.69513236549957,66.55231560891937,70.75454093231819,84.73705637085918,0.9974683544303797,0.08131403326666667,0.003431967705315386
undersampling,50,20,Test,1,91.0,55717.0,91.0,11.0,89.2156862745098,99.83694094036697,50.0,99.81756394204973,64.08450704225352,94.37701627802473,92.40206267426696,0.5488260375279005,0.08131403326666667,0.003431967705315386
undersampling,50,30,Train,1,390.0,407.0,390.0,0.0,100.0,51.06649937264742,50.0,67.14406065711879,66.66666666666667,71.46082799173784,85.31994981179423,1.0,0.11578048581666667,0.0034933311125624044
undersampling,50,30,Test,1,91.0,54964.0,91.0,11.0,89.2156862745098,99.83471074380165,50.0,99.81507333611329,64.08450704225352,94.37596215681958,92.40139361529737,0.5269350109716051,0.11578048581666667,0.0034933311125624044
undersampling,10,10,Train,2,387.0,380.0,387.0,3.0,99.23076923076923,49.54367666232073,50.0,66.29213483146067,66.49484536082474,70.11602631155445,84.32464146023467,0.996083550913838,0.08423936988333333,0.003381137643039687
undersampling,10,10,Test,2,92.0,55176.0,92.0,10.0,90.19607843137256,99.83353839473112,50.0,99.81578472096804,64.33566433566435,94.89253742593573,93.08731642038012,0.5242867158058778,0.08423936988333333,0.003381137643039687
undersampling,10,20,Train,2,388.0,406.0,388.0,2.0,99.48717948717949,51.13350125944584,50.0,67.0608108108108,66.55231560891937,71.32410404348875,84.9810760188594,0.9975490196078431,0.08475479991666666,0.0034953059270903773
undersampling,10,20,Test,2,93.0,55334.0,93.0,9.0,91.17647058823529,99.83221173796164,50.0,99.81631219723027,64.58333333333333,95.4062299710283,93.7731929331532,0.5267973016205088,0.08475479991666666,0.0034953059270903773
undersampling,10,30,Train,2,387.0,413.0,387.0,3.0,99.23076923076923,51.625,50.0,67.22689075630252,66.49484536082474,71.57365759508495,84.94903846153845,0.9963942307692308,0.0810225219,0.003526043542027102
